id,SalePrice
1461,120072.22151343753
1462,152500.04409180197
1463,181400.06182444227
1464,196473.39769838186
1465,199129.92755501828
1466,170999.829225794
1467,178738.4723469958
1468,160677.82293683646
1469,194640.3775742503
1470,119566.57093165314
1471,189321.87864013034
1472,97882.11367084389
1473,95828.87960007365
1474,145492.65959567332
1475,111535.15439492073
1476,360251.8115475521
1477,249372.71235593513
1478,296330.63324291224
1479,299544.76992505864
1480,472707.9454789716
1481,324041.8235987682
1482,211775.93061444053
1483,178431.228802549
1484,162043.05792907835
1485,193446.7086162811
1486,193717.7716072819
1487,338561.8116687602
1488,238489.28779930304
1489,192332.878685208
1490,234165.42302424868
1491,195665.57251224178
1492,92727.59915391191
1493,190094.90352874342
1494,298548.90500691126
1495,291784.84967425215
1496,235217.198041764
1497,179502.61203637507
1498,169073.97653312245
1499,163479.98258761488
1500,154601.2548027925
1501,174002.7811405658
1502,145604.58508496842
1503,288844.5082439111
1504,242337.84275713938
1505,225638.0637077979
1506,187991.82879861456
1507,245223.51028294314
1508,202477.27403369613
1509,163165.64411336312
1510,143182.73237573233
1511,148964.31100206135
1512,176047.52268928743
1513,152813.08155354956
1514,154796.31203626242
1515,195833.97572292606
1516,157173.64450583863
1517,169432.70521828491
1518,132089.4364047973
1519,209171.58665568774
1520,126853.58416286536
1521,129715.87143891542
1522,178770.85058986602
1523,110107.26799054301
1524,126058.07114372858
1525,119472.45112753868
1526,112437.7211801206
1527,108132.43910589122
1528,138298.47984522622
1529,149733.21294619204
1530,185394.04453880698
1531,106338.82773224001
1532,98536.94262356732
1533,143786.87345061093
1534,127395.10962984916
1535,147409.37016858073
1536,106606.66480187885
1537,63775.367641598146
1538,147458.22727040335
1539,192939.80945994204
1540,95648.77121372605
1541,138455.17987207219
1542,139875.5439303909
1543,185946.65281302648
1544,86348.15547978807
1545,116348.80453836313
1546,136398.63641826768
1547,127969.58895728325
1548,140058.77193380095
1549,121197.92851038968
1550,134874.52151283371
1551,108123.65241187926
1552,135350.86455616687
1553,147230.4114168728
1554,116616.37133527911
1555,159804.1104270186
1556,85869.30114727576
1557,105610.40473961341
1558,99078.26404801111
1559,63640.23279527861
1560,134439.10942876304
1561,128181.9688182919
1562,130382.30680028867
1563,117839.01577323704
1564,154783.13781087266
1565,150934.21760508255
1566,238236.1958539409
1567,76829.17168558983
1568,231505.2125080357
1569,126595.7558366154
1570,140024.2383008473
1571,123369.47371368165
1572,141442.9979448403
1573,234079.366538911
1574,118909.75075014925
1575,228698.41796334955
1576,244501.2544889167
1577,180814.5997540868
1578,149305.69347199885
1579,143982.71015024453
1580,196986.74976574254
1581,154126.2698207951
1582,125287.0008467292
1583,291318.21774826816
1584,216118.5556573035
1585,135363.96331581316
1586,66110.39116599757
1587,105720.51841383734
1588,151353.7958555689
1589,96593.29066464558
1590,133687.68831077032
1591,91284.0596517914
1592,114523.67343784237
1593,127177.10538013407
1594,123344.7691213634
1595,107079.29172010746
1596,220044.83402078535
1597,194399.13137384944
1598,229738.0733217215
1599,170758.60509484782
1600,161413.53593399376
1601,67981.41035733328
1602,117627.45713348099
1603,71169.41343252826
1604,259052.12602429002
1605,242981.5379739619
1606,168586.8537905288
1607,174810.58911967874
1608,215192.11312134122
1609,183784.19681324816
1610,150792.68172219873
1611,138042.71004669525
1612,171183.71617684222
1613,162647.04539407813
1614,128658.78474212177
1615,94559.30250582346
1616,78494.74861794228
1617,95516.62350191233
1618,124886.84390352495
1619,139619.5417879091
1620,150484.78452951828
1621,138650.441522556
1622,142323.10522439488
1623,260185.75771601673
1624,209262.80230846305
1625,119869.24419521431
1626,171349.1615087605
1627,191318.9486036569
1628,280785.5888703305
1629,184255.51413617772
1630,344234.30276270607
1631,231192.29246896712
1632,245309.66982469708
1633,175774.77058299477
1634,184979.27752712017
1635,175894.63711929676
1636,152557.25051669107
1637,199590.72653804146
1638,180124.15177771333
1639,191265.06335866867
1640,250563.52263578962
1641,183961.8505987525
1642,240183.4264058224
1643,214279.10234606848
1644,233724.05225848092
1645,196381.16087855108
1646,158585.4477395222
1647,162034.53092917232
1648,129612.25157932872
1649,139689.97988468866
1650,113828.92942078697
1651,120821.29812075869
1652,97893.32978416141
1653,100106.6980342056
1654,144787.67772361264
